Wall time,Step,Value
1593633198.2835264,0,15.183553695678711
1593633280.191969,1,14.96072006225586
1593633356.762427,2,14.165851593017578
1593633379.7240078,3,12.430737495422363
1593633423.0368943,4,11.674324989318848
1593633639.5007067,5,12.53122329711914
1593633744.725151,6,12.63536262512207
1593633770.792273,7,11.706766128540039
1593633937.8078544,8,10.887600898742676
1593634080.7380748,9,11.533282279968262
1593634196.3521159,10,11.996390342712402
1593634364.3711243,11,10.272374153137207
1593634480.8650563,12,10.365164756774902
1593634645.8198364,13,10.56025505065918
1593634809.0775883,14,9.385855674743652
1593634906.3797512,15,9.470451354980469
1593635081.229326,16,9.248053550720215
1593635222.536315,17,9.652303695678711
1593635343.2626688,18,9.02243709564209
1593635528.756816,19,8.503579139709473
1593635617.6158547,20,8.201899528503418
1593635764.7886515,21,8.138812065124512
1593635939.1392407,22,7.966983318328857
1593636017.7497714,23,7.868189811706543
1593636203.8033197,24,7.579138278961182
1593636350.229828,25,7.504969596862793
1593636433.889555,26,7.557194709777832
1593636610.401397,27,7.898630142211914
1593636749.9088817,28,7.657768249511719
1593636828.413601,29,7.041098117828369
1593636912.3674066,30,6.976644039154053
1593636991.5054283,31,6.8532938957214355
1593637049.7504156,32,6.632411003112793
1593637090.492593,33,6.572882175445557
1593637170.9330895,34,6.496406078338623
1593637244.6871917,35,6.414517879486084
1593637303.5470016,36,6.595826625823975
1593637348.705141,37,5.913753509521484
1593637418.426117,38,6.127888202667236
1593637482.117197,39,6.015174388885498
1593637551.8242922,40,6.6476335525512695
1593637599.7155006,41,5.8348212242126465
1593637645.1932054,42,5.596879482269287
1593637730.6882067,43,5.4700469970703125
1593637803.4590797,44,5.554673194885254
1593637852.621726,45,5.294213771820068
1593637892.7502975,46,5.547060966491699
1593637975.9434996,47,5.129782199859619
1593638047.4822044,48,5.270760536193848
1593638105.3508499,49,5.147496700286865
1593638151.298131,50,5.002972602844238
1593638216.1191378,51,5.071115493774414
1593638300.592089,52,5.368948936462402
1593638362.0822222,53,4.595325946807861
1593638410.7258697,54,4.95723295211792
1593638460.081748,55,4.792847156524658
1593638534.7509725,56,4.697343349456787
1593638610.0077996,57,4.924010753631592
1593638658.5779703,58,4.3470659255981445
1593638701.2876234,59,4.576239109039307
1593638764.9875915,60,4.276331901550293
1593638851.3544507,61,4.712413311004639
1593638914.6079755,62,4.745304584503174
1593638963.363849,63,4.110575199127197
1593639009.3803105,64,4.479834079742432
1593639087.8302178,65,4.0051655769348145
1593639175.4170747,66,3.9732491970062256
1593639225.036354,67,3.8873965740203857
1593639266.2249947,68,4.136500835418701
1593639345.5310323,69,4.102233409881592
1593639421.7331252,70,3.9114506244659424
1593639476.8485796,71,3.781151056289673
1593639524.894594,72,3.8886308670043945
1593639563.8021884,73,3.9267165660858154
1593639643.9323678,74,3.7917397022247314
1593639710.1040556,75,3.627331495285034
1593639771.9309878,76,3.8712310791015625
1593639816.7740617,77,3.828070640563965
1593639855.9446692,78,3.788594961166382
1593639942.8440924,79,3.584089756011963
1593640023.8153982,80,3.6168930530548096
1593640072.5696023,81,3.747422695159912
1593640119.394773,82,3.4552478790283203
1593640171.703789,83,3.59425950050354
1593640243.0398018,84,3.567631721496582
1593640318.2747288,85,3.3738887310028076
1593640368.012961,86,3.4158928394317627
1593640413.1801562,87,3.2976932525634766
1593640459.5625172,88,3.3655786514282227
1593640549.350639,89,3.2770862579345703
1593640616.2942457,90,3.2603821754455566
1593640662.3903074,91,3.3107142448425293
1593640712.1086066,92,3.2720606327056885
1593640752.0682428,93,3.2407355308532715
1593640830.8843548,94,3.146707534790039
1593640903.2300358,95,3.233980655670166
1593640956.7467518,96,3.155738592147827
1593641004.7645864,97,3.201444387435913
1593641045.5138142,98,3.0795488357543945
1593641124.9542503,99,3.2609920501708984
1593641210.213829,100,3.0608952045440674
1593641262.0544736,101,3.09997296333313
1593641309.6335745,102,3.1237692832946777
1593641351.0806305,103,3.026594638824463
