Wall time,Step,Value
1592320981.5545325,0,0.4000000059604645
1592321330.535247,1,2.4000000953674316
1592321708.133756,2,5.400000095367432
1592322126.7205772,3,1.899999976158142
1592322538.9009264,4,1.7000000476837158
1592322973.3093364,5,1.2000000476837158
1592323425.7110822,6,5.099999904632568
1592323800.621417,7,1.899999976158142
1592324199.9532216,8,4.099999904632568
1592324621.3523057,9,5.199999809265137
1592325032.9825342,10,7.300000190734863
1592325416.687812,11,5.400000095367432
1592325828.98091,12,11.300000190734863
1592326242.1321094,13,8.800000190734863
1592326734.4749103,14,12.0
1592327224.370727,15,10.899999618530273
1592327660.8501258,16,11.899999618530273
1592328129.3194516,17,11.399999618530273
1592328574.5482306,18,5.300000190734863
1592329000.774789,19,12.399999618530273
1592329419.3832865,20,9.800000190734863
1592329867.3343458,21,13.800000190734863
1592330310.7942908,22,10.0
1592330731.7774653,23,18.0
1592331161.7755318,24,16.0
1592331610.212365,25,5.699999809265137
1592332049.115361,26,11.800000190734863
1592332471.1337523,27,8.399999618530273
1592332978.877671,28,6.099999904632568
1592333418.5345447,29,15.199999809265137
1592333882.7767746,30,10.800000190734863
1592334335.1991076,31,12.300000190734863
1592334844.7448792,32,9.5
1592335369.705905,33,21.5
1592335883.9449387,34,20.100000381469727
1592336197.9275775,35,11.300000190734863
1592336486.4543364,36,27.600000381469727
1592336779.798938,37,41.400001525878906
1592337103.5558164,38,12.5
1592337396.101092,39,25.5
1592337732.3753047,40,32.599998474121094
1592338024.5383334,41,24.700000762939453
1592338349.79297,42,49.400001525878906
1592338651.400461,43,36.400001525878906
1592338949.482308,44,16.899999618530273
1592339262.4597795,45,53.0
1592339572.2990127,46,12.399999618530273
1592339881.4213712,47,37.599998474121094
1592340190.5926158,48,12.800000190734863
1592340503.9391646,49,65.5999984741211
1592340827.829788,50,36.599998474121094
1592341142.6871367,51,24.100000381469727
1592341447.6657853,52,61.29999923706055
1592341764.1018345,53,43.900001525878906
1592342075.4739494,54,13.5
1592342396.013658,55,40.900001525878906
1592342710.895846,56,48.099998474121094
1592343019.6472676,57,36.900001525878906
1592343344.8598633,58,16.799999237060547
1592343661.1940339,59,53.20000076293945
1592343980.1461465,60,72.0
1592344291.7039168,61,39.5
1592344608.0727818,62,65.5999984741211
1592344927.9410815,63,91.30000305175781
1592345247.5960226,64,79.9000015258789
1592345578.8950398,65,56.5
1592345898.4156442,66,96.0
1592346228.1162434,67,41.0
1592346572.3885043,68,81.5999984741211
1592346882.083535,69,87.9000015258789
1592347196.3676598,70,79.9000015258789
1592347515.068393,71,102.4000015258789
1592347834.756401,72,82.0999984741211
1592348149.1874962,73,84.0999984741211
1592348472.9930453,74,90.0
1592348820.7344558,75,100.80000305175781
1592349130.57241,76,83.80000305175781
1592349443.8972013,77,129.5
1592349753.8938708,78,121.5
1592350070.0526109,79,133.10000610351562
1592350382.6209779,80,106.5
1592350702.4549384,81,91.5
1592351024.3490715,82,120.0999984741211
1592351341.5965536,83,112.30000305175781
1592351657.432769,84,95.5999984741211
1592351972.640936,85,102.5
1592352288.7990935,86,112.0999984741211
1592352612.296825,87,126.30000305175781
1592352915.1859531,88,110.69999694824219
1592353228.120098,89,105.69999694824219
1592353550.3225129,90,118.19999694824219
1592353869.9607458,91,63.400001525878906
1592354183.1203074,92,112.80000305175781
1592354503.2565866,93,111.0999984741211
1592354818.0480103,94,37.20000076293945
1592355134.0228884,95,105.19999694824219
1592355433.714855,96,56.099998474121094
1592355747.6846976,97,116.80000305175781
1592356063.970493,98,119.0
1592356378.9534507,99,130.1999969482422
1592356697.8948927,100,119.5999984741211
