Wall time,Step,Value
1593703148.003484,0,16.4424991607666
1593703163.8502865,1,16.534101486206055
1593703179.1279502,2,13.382458686828613
1593703194.024132,3,12.460323333740234
1593703231.2778416,4,12.86556625366211
1593703278.7469468,5,16.33115577697754
1593703294.3703763,6,12.770517349243164
1593703309.232791,7,11.795476913452148
1593703327.277386,8,11.823685646057129
1593703355.2682388,9,11.61563491821289
1593703393.7625473,10,10.354649543762207
1593703431.0679955,11,10.659626960754395
1593703459.4879653,12,10.050087928771973
1593703487.9153848,13,9.837386131286621
1593703516.3044748,14,9.67642593383789
1593703544.747873,15,9.618443489074707
1593703573.136459,16,9.665714263916016
1593703601.5245268,17,9.00042724609375
1593703629.963067,18,9.173663139343262
1593703658.323607,19,8.633440017700195
1593703686.683118,20,8.50581169128418
1593703715.139997,21,8.8734712600708
1593703743.5890975,22,9.951810836791992
1593703772.006744,23,8.390707015991211
1593703800.4499118,24,8.240262031555176
1593703828.82446,25,8.941878318786621
1593703857.2906199,26,7.473445892333984
1593703885.6863544,27,7.537881374359131
1593703914.0745552,28,7.040665149688721
1593703942.5039458,29,7.395742893218994
1593703970.900417,30,6.826058864593506
1593703999.3299317,31,7.245206832885742
1593704027.7582178,32,6.919573783874512
1593704056.1935618,33,6.9838972091674805
1593704084.6057637,34,6.382704257965088
1593704113.7039223,35,6.553325653076172
1593704143.053312,36,6.334985733032227
1593704172.432137,37,6.414810657501221
1593704201.775653,38,5.974246025085449
1593704231.148588,39,6.120915412902832
1593704260.5021985,40,5.784579753875732
1593704289.8871005,41,6.698741912841797
1593704319.2581694,42,5.702360153198242
1593704348.6093154,43,5.485917568206787
1593704378.0140285,44,5.697917461395264
1593704407.374882,45,5.823980331420898
1593704436.7330832,46,5.524337291717529
1593704466.098284,47,5.30670690536499
1593704495.4582372,48,5.432925224304199
1593704524.8235233,49,4.915314197540283
1593704554.1879554,50,4.990545272827148
1593704583.5368054,51,5.430397987365723
1593704612.9143152,52,6.048338890075684
1593704642.2502053,53,4.873243808746338
1593704671.6085987,54,5.098753929138184
1593704700.9769223,55,4.89093017578125
1593704730.3681571,56,4.567661285400391
1593704759.7324202,57,4.437498092651367
1593704789.1057734,58,4.5952653884887695
1593704818.48959,59,4.951385021209717
1593704847.8508775,60,4.801477432250977
1593704877.2405148,61,4.307085037231445
1593704906.6060562,62,4.384505748748779
1593704935.9746466,63,4.284878730773926
1593704965.314582,64,4.101459503173828
1593704993.6572995,65,4.714407920837402
1593705022.0075667,66,4.304439067840576
1593705050.3699713,67,4.004976272583008
1593705078.7063584,68,4.029646873474121
1593705107.029313,69,4.7059760093688965
1593705135.473455,70,3.8137853145599365
1593705164.885203,71,3.8389599323272705
1593705194.175109,72,3.815791130065918
1593705223.4534938,73,4.084095478057861
1593705252.7760453,74,3.7661170959472656
1593705282.0973694,75,3.656108856201172
1593705311.4476898,76,3.6697280406951904
1593705340.7821517,77,3.8435583114624023
1593705370.0981078,78,3.63824200630188
1593705399.490555,79,3.5081586837768555
1593705428.750767,80,4.015318870544434
1593705458.1180685,81,3.6661155223846436
1593705486.518812,82,3.53814959526062
1593705514.9506857,83,3.624955654144287
1593705543.7384183,84,3.4112114906311035
1593705574.3116271,85,3.4550621509552
1593705603.3745906,86,3.384432315826416
1593705632.1992428,87,3.474656105041504
1593705661.518507,88,3.3656957149505615
1593705690.8393128,89,3.3215670585632324
1593705719.2282465,90,3.280682325363159
1593705747.5735285,91,3.255169630050659
1593705775.9130929,92,3.2586967945098877
1593705804.2751791,93,3.209458827972412
1593705832.5862758,94,3.1959941387176514
1593705860.9545543,95,3.1870534420013428
1593705889.2435114,96,3.2650489807128906
1593705917.5616407,97,3.181171178817749
1593705945.8581376,98,3.147832155227661
1593705974.1637533,99,3.2400267124176025
1593706002.5130455,100,3.0779354572296143
1593706030.8437123,101,3.1157515048980713
1593706059.1802068,102,3.0425193309783936
1593706087.4906697,103,3.0674333572387695
1593706115.8173053,104,3.1636335849761963
