Wall time,Step,Value
1592081963.7564156,0,2.5
1592082240.11517,1,1.1666666269302368
1592082519.1459064,2,1.0
1592082806.6603334,3,1.5
1592083093.8259585,4,4.5
1592083385.3091042,5,4.0
1592083677.6383078,6,0.0
1592083978.5266085,7,4.5
1592084281.633641,8,9.0
1592084586.873024,9,9.0
1592084895.6932368,10,6.333333492279053
1592085202.3313906,11,6.0
1592085515.1192508,12,9.5
1592085833.7040703,13,8.5
1592086155.7488842,14,4.166666507720947
1592086476.6184494,15,7.666666507720947
1592086824.3311737,16,11.166666984558105
1592087183.2354722,17,9.5
1592087551.9571893,18,20.33333396911621
1592087914.4117262,19,22.16666603088379
1592088284.8847373,20,12.666666984558105
1592088653.2806933,21,26.66666603088379
1592089029.061331,22,32.0
1592089411.2605238,23,22.33333396911621
1592089782.711401,24,28.66666603088379
1592090173.0193615,25,25.66666603088379
1592090570.0680683,26,27.83333396911621
1592090962.9846148,27,44.5
1592091352.6930883,28,36.83333206176758
1592091753.107051,29,26.33333396911621
1592092159.6214154,30,45.33333206176758
1592092475.4910865,31,57.33333206176758
1592092822.7246938,32,53.33333206176758
1592093162.7792258,33,51.66666793823242
1592093476.514827,34,43.0
1592093843.8271093,35,58.83333206176758
1592094172.3122332,36,65.33333587646484
1592094545.9176242,37,93.16666412353516
1592094869.9356482,38,66.66666412353516
1592095185.6214,39,66.83333587646484
1592095550.9584184,40,90.66666412353516
1592095914.9978385,41,96.16666412353516
1592096290.6650805,42,67.33333587646484
1592096642.9155343,43,88.0
1592096949.8269424,44,73.66666412353516
1592097289.020281,45,95.16666412353516
1592097608.349289,46,75.16666412353516
1592097940.5921307,47,69.0
1592098267.843896,48,98.0
1592098591.6159437,49,80.5
1592098926.0776584,50,92.5
1592099217.8208504,51,85.83333587646484
1592099570.5708551,52,82.16666412353516
1592099901.5321288,53,83.0
1592100265.8991332,54,92.83333587646484
1592100586.443546,55,101.66666412353516
1592100886.6197364,56,72.16666412353516
1592101268.3481243,57,96.16666412353516
1592101571.324084,58,102.5
1592101896.3338547,59,79.16666412353516
1592102230.4843428,60,96.0
1592102546.806018,61,98.83333587646484
1592102908.7136059,62,96.66666412353516
1592103237.3737166,63,103.33333587646484
1592103548.324098,64,85.33333587646484
1592103861.3890486,65,70.83333587646484
1592104186.5560577,66,70.33333587646484
1592104493.7694552,67,103.83333587646484
1592104805.754262,68,90.66666412353516
1592105135.3310843,69,68.83333587646484
1592105423.0350387,70,95.83333587646484
1592105746.9138918,71,31.16666603088379
1592106054.3570676,72,94.83333587646484
1592106387.310296,73,101.16666412353516
1592106759.7659926,74,73.33333587646484
1592107077.256154,75,77.83333587646484
1592107380.3840911,76,72.16666412353516
1592107707.5102599,77,68.5
1592107985.1612232,78,102.0
1592108329.2652273,79,102.5
1592108622.922423,80,99.33333587646484
1592108977.058991,81,96.0
1592109335.9286163,82,98.0
1592109626.9719405,83,95.66666412353516
1592109951.45479,84,100.66666412353516
1592110275.8661332,85,103.16666412353516
1592110578.6057236,86,97.0
1592110909.3873336,87,102.83333587646484
1592111188.7947376,88,103.16666412353516
1592111512.657766,89,99.33333587646484
1592111788.8953826,90,103.0
1592112101.1456325,91,100.66666412353516
1592112377.1449592,92,66.5
1592112676.9459515,93,78.83333587646484
1592112985.9579377,94,96.66666412353516
1592113317.6074405,95,84.5
1592113618.2018642,96,94.5
1592113918.759418,97,88.83333587646484
1592114223.150577,98,103.16666412353516
1592114548.193181,99,93.33333587646484
