Wall time,Step,Value
1592750028.8215535,0,1.0
1592750213.4492793,1,1.2999999523162842
1592750410.847695,2,4.699999809265137
1592750648.2221398,3,2.4000000953674316
1592750894.712893,4,3.4000000953674316
1592751142.5513864,5,2.0999999046325684
1592751391.622809,6,5.5
1592751637.643924,7,8.100000381469727
1592751888.31252,8,9.5
1592752151.8232436,9,8.600000381469727
1592752413.450092,10,4.800000190734863
1592752676.8968735,11,8.600000381469727
1592752937.0649862,12,4.900000095367432
1592753201.2312417,13,4.300000190734863
1592753473.2496073,14,9.800000190734863
1592753745.4176004,15,6.300000190734863
1592754017.8056743,16,6.0
1592754297.1111686,17,5.300000190734863
1592754584.6251562,18,7.0
1592754873.0879588,19,5.5
1592755160.6211658,20,6.0
1592755452.263505,21,9.800000190734863
1592755742.8830616,22,9.600000381469727
1592756042.444613,23,14.899999618530273
1592756339.0768287,24,9.899999618530273
1592756641.6052847,25,17.899999618530273
1592756948.2022552,26,15.0
1592757249.8047698,27,23.0
1592757554.467863,28,8.5
1592757874.6465907,29,25.0
1592758195.7009583,30,33.599998474121094
1592758517.9170885,31,16.100000381469727
1592758834.502054,32,42.900001525878906
1592759153.598935,33,31.299999237060547
1592759476.3104248,34,61.29999923706055
1592759798.493902,35,25.200000762939453
1592760126.708821,36,46.20000076293945
1592760461.075797,37,60.599998474121094
1592760797.211947,38,38.5
1592761148.1660478,39,54.29999923706055
1592761493.7210827,40,58.400001525878906
1592761844.3064113,41,43.599998474121094
1592762195.5228558,42,48.70000076293945
1592762548.885384,43,49.400001525878906
1592762905.9071825,44,75.5
1592763265.2648823,45,41.20000076293945
1592763568.2253852,46,53.79999923706055
1592763859.1343458,47,82.5999984741211
1592764160.8459153,48,65.5999984741211
1592764455.5613441,49,64.69999694824219
1592764753.0129375,50,61.20000076293945
1592765055.67756,51,65.9000015258789
1592765353.1268644,52,67.5
1592765647.875903,53,100.5999984741211
1592765946.96709,54,116.19999694824219
1592766241.017937,55,64.5999984741211
1592766548.8368764,56,74.69999694824219
1592766906.9493353,57,94.80000305175781
1592767288.6308744,58,82.30000305175781
1592767665.4674475,59,93.5999984741211
1592768066.938859,60,101.19999694824219
1592768428.8147507,61,131.1999969482422
1592768723.9554667,62,104.5
1592769025.7814548,63,93.5999984741211
1592769345.9455564,64,114.80000305175781
1592769726.666142,65,107.19999694824219
1592770111.8680117,66,133.1999969482422
1592770462.870424,67,132.8000030517578
1592770779.8644514,68,89.5999984741211
1592771181.4127493,69,105.30000305175781
1592771584.574525,70,136.10000610351562
1592771981.8377445,71,126.30000305175781
1592772383.812643,72,129.8000030517578
1592772786.7619624,73,109.9000015258789
1592773191.1285114,74,97.69999694824219
1592773588.5855653,75,122.5999984741211
1592773995.3690608,76,121.9000015258789
1592774396.3739967,77,124.0
1592774798.4509456,78,110.80000305175781
1592775195.2199092,79,121.0999984741211
1592775602.356128,80,115.0
1592776008.5612328,81,104.19999694824219
1592776415.3615162,82,114.5999984741211
1592776824.267786,83,98.5
1592777228.662895,84,123.19999694824219
1592777639.222846,85,143.8000030517578
1592778047.2172122,86,104.0
1592778451.4790943,87,133.5
1592778862.420692,88,114.0
1592779272.171077,89,105.0
1592779676.403062,90,130.1999969482422
1592780077.2573662,91,131.1999969482422
1592780490.2971294,92,108.4000015258789
1592780904.2758136,93,95.9000015258789
1592781307.2660322,94,103.5
1592781702.0700548,95,130.89999389648438
1592782105.4755778,96,110.5
1592782505.8339796,97,108.0999984741211
1592782908.4053712,98,115.19999694824219
1592783313.0916994,99,132.39999389648438
1592783713.4645603,100,131.60000610351562
